Method,Dimension,Lambda,ARL,h
MEWMA,2,0.05,100,6.061
MEWMA,2,0.05,200,7.6045
MEWMA,2,0.05,500,9.7054375
MEWMA,2,0.05,1000,11.269
MEWMA,2,0.05,2000,12.8545625
MEWMA,2,0.1,100,7.14871875
MEWMA,2,0.1,200,8.7571875
MEWMA,2,0.1,500,10.7879375
MEWMA,2,0.1,1000,12.32803125
MEWMA,2,0.1,2000,13.892
MEWMA,2,0.2,100,8.10553125
MEWMA,2,0.2,200,9.6890625
MEWMA,2,0.2,500,11.6805
MEWMA,2,0.2,1000,13.179
MEWMA,2,0.2,2000,14.639
MEWMA,2,0.3,100,8.556878756
MEWMA,2,0.3,200,10.085
MEWMA,2,0.3,500,12.04279682
MEWMA,2,0.3,1000,13.51493423
MEWMA,2,0.3,2000,14.93324932
MEWMA,2,0.4,100,8.799925097
MEWMA,2,0.4,200,10.2865625
MEWMA,2,0.4,500,12.24129278
MEWMA,2,0.4,1000,13.67658219
MEWMA,2,0.4,2000,15.07524605
MEWMA,2,0.5,100,8.941789605
MEWMA,2,0.5,200,10.40484375
MEWMA,2,0.5,500,12.34015395
MEWMA,2,0.5,1000,13.74468076
MEWMA,2,0.5,2000,15.13189773
MEWMA,2,0.6,100,9.033297571
MEWMA,2,0.6,200,10.49265625
MEWMA,2,0.6,500,12.38040867
MEWMA,2,0.6,1000,13.79139527
MEWMA,2,0.6,2000,15.19079877
MEWMA,2,0.7,100,9.090073996
MEWMA,2,0.7,200,10.5109375
MEWMA,2,0.7,500,12.40697879
MEWMA,2,0.7,1000,13.79328821
MEWMA,2,0.7,2000,15.21288666
MEWMA,2,0.8,100,9.103881671
MEWMA,2,0.8,200,10.54484375
MEWMA,2,0.8,500,12.40815829
MEWMA,2,0.8,1000,13.8068999
MEWMA,2,0.8,2000,15.20372455
MEWMA,2,0.9,100,9.113086788
MEWMA,2,0.9,200,10.57265625
MEWMA,2,0.9,500,12.40113212
MEWMA,2,0.9,1000,13.82248478
MEWMA,2,0.9,2000,15.20966075
MEWMA,2,0.95,100,9.125501846
MEWMA,2,0.95,200,10.55921875
MEWMA,2,0.95,500,12.40543154
MEWMA,2,0.95,1000,13.83613659
MEWMA,2,0.95,2000,15.19260932
MEWMA,3,0.05,100,7.886375
MEWMA,3,0.05,200,9.601125
MEWMA,3,0.05,500,11.94621875
MEWMA,3,0.05,1000,13.67
MEWMA,3,0.05,2000,15.343
MEWMA,3,0.1,100,9.103125
MEWMA,3,0.1,200,10.846625
MEWMA,3,0.1,500,13.1025
MEWMA,3,0.1,1000,14.815
MEWMA,3,0.1,2000,6.46078125
MEWMA,3,0.2,100,10.13884375
MEWMA,3,0.2,200,11.84015625
MEWMA,3,0.2,500,14.02375
MEWMA,3,0.2,1000,15.647
MEWMA,3,0.2,2000,17.2230625
MEWMA,3,0.3,100,10.63320783
MEWMA,3,0.3,200,12.27578125
MEWMA,3,0.3,500,14.39578117
MEWMA,3,0.3,1000,15.97374591
MEWMA,3,0.3,2000,17.50933509
MEWMA,3,0.4,100,10.90322668
MEWMA,3,0.4,200,12.4890625
MEWMA,3,0.4,500,14.59556129
MEWMA,3,0.4,1000,16.1201418
MEWMA,3,0.4,2000,17.64093257
MEWMA,3,0.5,100,11.04149482
MEWMA,3,0.5,200,12.64765625
MEWMA,3,0.5,500,14.68105181
MEWMA,3,0.5,1000,16.19256971
MEWMA,3,0.5,2000,17.69416904
MEWMA,3,0.6,100,11.1187704
MEWMA,3,0.6,200,12.728125
MEWMA,3,0.6,500,14.74357723
MEWMA,3,0.6,1000,16.24119722
MEWMA,3,0.6,2000,17.73459222
MEWMA,3,0.7,100,11.18192843
MEWMA,3,0.7,200,12.78125
MEWMA,3,0.7,500,14.78313755
MEWMA,3,0.7,1000,16.27774308
MEWMA,3,0.7,2000,17.71532707
MEWMA,3,0.8,100,11.23289896
MEWMA,3,0.8,200,12.80703125
MEWMA,3,0.8,500,14.78461192
MEWMA,3,0.8,1000,16.24983582
MEWMA,3,0.8,2000,17.70192131
MEWMA,3,0.9,100,11.24292098
MEWMA,3,0.9,200,12.81054688
MEWMA,3,0.9,500,14.82661047
MEWMA,3,0.9,1000,16.25466848
MEWMA,3,0.9,2000,17.70763257
MEWMA,3,0.95,100,11.25355699
MEWMA,3,0.95,200,12.809375
MEWMA,3,0.95,500,14.79780505
MEWMA,3,0.95,1000,16.24243637
MEWMA,3,0.95,2000,17.7207421
MEWMA,4,0.05,100,9.5278125
MEWMA,4,0.05,200,11.4778125
MEWMA,4,0.05,500,13.94196875
MEWMA,4,0.05,1000,15.7396875
MEWMA,4,0.05,2000,17.583
MEWMA,4,0.1,100,10.853375
MEWMA,4,0.1,200,12.745
MEWMA,4,0.1,500,15.199125
MEWMA,4,0.1,1000,16.928125
MEWMA,4,0.1,2000,18.69025
MEWMA,4,0.2,100,11.9986875
MEWMA,4,0.2,200,13.80359375
MEWMA,4,0.2,500,16.152
MEWMA,4,0.2,1000,17.839
MEWMA,4,0.2,2000,19.457
MEWMA,4,0.3,100,12.53689442
MEWMA,4,0.3,200,14.261875
MEWMA,4,0.3,500,16.5298627
MEWMA,4,0.3,1000,18.16362376
MEWMA,4,0.3,2000,19.73224588
MEWMA,4,0.4,100,12.7882062
MEWMA,4,0.4,200,14.5175
MEWMA,4,0.4,500,16.7121257
MEWMA,4,0.4,1000,18.29439408
MEWMA,4,0.4,2000,19.88524045
MEWMA,4,0.5,100,12.96765373
MEWMA,4,0.5,200,14.663125
MEWMA,4,0.5,500,16.82077988
MEWMA,4,0.5,1000,18.3853289
MEWMA,4,0.5,2000,19.92302787
MEWMA,4,0.6,100,13.04677331
MEWMA,4,0.6,200,14.73703125
MEWMA,4,0.6,500,16.86140737
MEWMA,4,0.6,1000,18.43820007
MEWMA,4,0.6,2000,19.97627759
MEWMA,4,0.7,100,13.09170548
MEWMA,4,0.7,200,14.79265625
MEWMA,4,0.7,500,16.9022012
MEWMA,4,0.7,1000,18.46813313
MEWMA,4,0.7,2000,19.97964127
MEWMA,4,0.8,100,13.11026789
MEWMA,4,0.8,200,14.8109375
MEWMA,4,0.8,500,16.9215661
MEWMA,4,0.8,1000,18.47544622
MEWMA,4,0.8,2000,19.98655856
MEWMA,4,0.9,100,13.13956991
MEWMA,4,0.9,200,14.81140625
MEWMA,4,0.9,500,16.93317396
MEWMA,4,0.9,1000,18.47771744
MEWMA,4,0.9,2000,19.99507633
MEWMA,4,0.95,100,13.1366428
MEWMA,4,0.95,200,14.5719375
MEWMA,4,0.95,500,16.90968101
MEWMA,4,0.95,1000,18.47494681
MEWMA,4,0.95,2000,20.0130071
MEWMA,5,0.05,100,11.175
MEWMA,5,0.05,200,13.1854375
MEWMA,5,0.05,500,15.8340625
MEWMA,5,0.05,1000,17.7216875
MEWMA,5,0.05,2000,19.623
MEWMA,5,0.1,100,12.55875
MEWMA,5,0.1,200,14.5719375
MEWMA,5,0.1,500,17.15475
MEWMA,5,0.1,1000,18.9835
MEWMA,5,0.1,2000,20.78
MEWMA,5,0.2,100,13.7866875
MEWMA,5,0.2,200,15.70553125
MEWMA,5,0.2,500,18.0680625
MEWMA,5,0.2,1000,19.883
MEWMA,5,0.2,2000,21.54
MEWMA,5,0.3,100,14.30473757
MEWMA,5,0.3,200,16.13779375
MEWMA,5,0.3,500,18.46780735
MEWMA,5,0.3,1000,20.17712141
MEWMA,5,0.3,2000,21.8584144
MEWMA,5,0.4,100,14.56269801
MEWMA,5,0.4,200,16.4129
MEWMA,5,0.4,500,18.64935048
MEWMA,5,0.4,1000,20.30307546
MEWMA,5,0.4,2000,21.99852484
MEWMA,5,0.5,100,14.73872215
MEWMA,5,0.5,200,16.54026875
MEWMA,5,0.5,500,18.77380938
MEWMA,5,0.5,1000,20.38839041
MEWMA,5,0.5,2000,22.04634181
MEWMA,5,0.6,100,14.85513899
MEWMA,5,0.6,200,16.592025
MEWMA,5,0.6,500,18.82309735
MEWMA,5,0.6,1000,20.43733404
MEWMA,5,0.6,2000,22.08696321
MEWMA,5,0.7,100,14.89487719
MEWMA,5,0.7,200,16.61769375
MEWMA,5,0.7,500,18.86409673
MEWMA,5,0.7,1000,20.46906856
MEWMA,5,0.7,2000,22.10054932
MEWMA,5,0.8,100,14.91686834
MEWMA,5,0.8,200,16.6320625
MEWMA,5,0.8,500,18.86066657
MEWMA,5,0.8,1000,20.48627767
MEWMA,5,0.8,2000,22.08656899
MEWMA,5,0.9,100,14.91329994
MEWMA,5,0.9,200,16.64489688
MEWMA,5,0.9,500,18.87140064
MEWMA,5,0.9,1000,20.4508754
MEWMA,5,0.9,2000,22.12119407
MEWMA,5,0.95,100,14.90760949
MEWMA,5,0.95,200,16.642525
MEWMA,5,0.95,500,18.86504892
MEWMA,5,0.95,1000,20.465
MEWMA,5,0.95,2000,22.125
MEWMA,6,0.05,100,13.102
MEWMA,6,0.05,200,14.6
MEWMA,6,0.05,500,18.154
MEWMA,6,0.05,1000,19.878
MEWMA,6,0.05,2000,21.56
MEWMA,6,0.1,100,14.459
MEWMA,6,0.1,200,16.27
MEWMA,6,0.1,500,18.999
MEWMA,6,0.1,1000,20.867
MEWMA,6,0.1,2000,22.678
MEWMA,6,0.2,100,15.636
MEWMA,6,0.2,200,17.51
MEWMA,6,0.2,500,19.982
MEWMA,6,0.2,1000,21.769
MEWMA,6,0.2,2000,23.5
MEWMA,6,0.3,100,16.08248772
MEWMA,6,0.3,200,18.01
MEWMA,6,0.3,500,20.55258824
MEWMA,6,0.3,1000,22.39061622
MEWMA,6,0.3,2000,24.17104512
MEWMA,6,0.4,100,16.30573158
MEWMA,6,0.4,200,18.26
MEWMA,6,0.4,500,20.83788235
MEWMA,6,0.4,1000,22.70142433
MEWMA,6,0.4,2000,24.50656768
MEWMA,6,0.5,100,16.42181839
MEWMA,6,0.5,200,18.39
MEWMA,6,0.5,500,20.98623529
MEWMA,6,0.5,1000,22.86304455
MEWMA,6,0.5,2000,24.68103941
MEWMA,6,0.6,100,16.49325642
MEWMA,6,0.6,200,18.47
MEWMA,6,0.6,500,21.07752941
MEWMA,6,0.6,1000,22.96250314
MEWMA,6,0.6,2000,24.78840662
MEWMA,6,0.7,100,16.52004569
MEWMA,6,0.7,200,18.5
MEWMA,6,0.7,500,21.11176471
MEWMA,6,0.7,1000,22.99980011
MEWMA,6,0.7,2000,24.82866933
MEWMA,6,0.8,100,16.55576471
MEWMA,6,0.8,200,18.54
MEWMA,6,0.8,500,21.15741176
MEWMA,6,0.8,1000,23.04952941
MEWMA,6,0.8,2000,24.88235294
MEWMA,6,0.9,100,16.57362421
MEWMA,6,0.9,200,18.56
MEWMA,6,0.9,500,21.18023529
MEWMA,6,0.9,1000,23.07439406
MEWMA,6,0.9,2000,24.90919475
MEWMA,6,0.95,100,16.59148372
MEWMA,6,0.95,200,18.58
MEWMA,6,0.95,500,21.20305882
MEWMA,6,0.95,1000,23.09925871
MEWMA,6,0.95,2000,24.93603655
MEWMA,7,0.05,100,14.628
MEWMA,7,0.05,200,16.68
MEWMA,7,0.05,500,19.409
MEWMA,7,0.05,1000,21.425
MEWMA,7,0.05,2000,23.378
MEWMA,7,0.1,100,16.044
MEWMA,7,0.1,200,18.114
MEWMA,7,0.1,500,20.762
MEWMA,7,0.1,1000,22.699
MEWMA,7,0.1,2000,24.574
MEWMA,7,0.2,100,17.26
MEWMA,7,0.2,200,19.254
MEWMA,7,0.2,500,21.776
MEWMA,7,0.2,1000,23.613
MEWMA,7,0.2,2000,25.412
MEWMA,7,0.3,100,17.52991162
MEWMA,7,0.3,200,19.6309
MEWMA,7,0.3,500,22.40232118
MEWMA,7,0.3,1000,24.40577168
MEWMA,7,0.3,2000,26.34643918
MEWMA,7,0.4,100,17.77324742
MEWMA,7,0.4,200,19.9034
MEWMA,7,0.4,500,22.71329176
MEWMA,7,0.4,1000,24.74455252
MEWMA,7,0.4,2000,26.71215877
MEWMA,7,0.5,100,17.89978204
MEWMA,7,0.5,200,20.0451
MEWMA,7,0.5,500,22.87499647
MEWMA,7,0.5,1000,24.92071856
MEWMA,7,0.5,2000,26.90233295
MEWMA,7,0.6,100,17.9776495
MEWMA,7,0.6,200,20.1323
MEWMA,7,0.6,500,22.97450706
MEWMA,7,0.6,1000,25.02912842
MEWMA,7,0.6,2000,27.01936322
MEWMA,7,0.7,100,18.0068498
MEWMA,7,0.7,200,20.165
MEWMA,7,0.7,500,23.01182353
MEWMA,7,0.7,1000,25.06978212
MEWMA,7,0.7,2000,27.06324957
MEWMA,7,0.8,100,18.04578353
MEWMA,7,0.8,200,20.2086
MEWMA,7,0.8,500,23.06157882
MEWMA,7,0.8,1000,25.12398706
MEWMA,7,0.8,2000,27.12176471
MEWMA,7,0.9,100,18.06525039
MEWMA,7,0.9,200,20.2304
MEWMA,7,0.9,500,23.08645647
MEWMA,7,0.9,1000,25.15108953
MEWMA,7,0.9,2000,27.15102227
MEWMA,7,0.95,100,18.08471726
MEWMA,7,0.95,200,20.2522
MEWMA,7,0.95,500,23.11133412
MEWMA,7,0.95,1000,25.17819199
MEWMA,7,0.95,2000,27.18027984
