,Method,Dimension,Lambda,ARL,h,
0,MEWMA,2,0.05,100,6.242,
1,MEWMA,2,0.05,200,7.35,
2,MEWMA,2,0.05,500,9.729,
3,MEWMA,2,0.05,1000,11.308,
4,MEWMA,2,0.05,2000,12.878,
5,MEWMA,2,0.1,100,7.262,
6,MEWMA,2,0.1,200,8.64,
7,MEWMA,2,0.1,500,10.827,
8,MEWMA,2,0.1,1000,12.371,
9,MEWMA,2,0.1,2000,13.882,
10,MEWMA,2,0.2,100,8.211,
11,MEWMA,2,0.2,200,9.65,
12,MEWMA,2,0.2,500,11.688,
13,MEWMA,2,0.2,1000,13.174,
14,MEWMA,2,0.2,2000,14.644,
15,MEWMA,2,0.3,100,8.576878756,
16,MEWMA,2,0.3,200,10.08,1.044559585
17,MEWMA,2,0.3,500,12.20881244,
18,MEWMA,2,0.3,1000,13.76102798,
19,MEWMA,2,0.3,2000,15.29653057,
20,MEWMA,2,0.4,100,8.772581347,
21,MEWMA,2,0.4,200,10.31,1.02281746
22,MEWMA,2,0.4,500,12.48738653,
23,MEWMA,2,0.4,1000,14.07501969,
24,MEWMA,2,0.4,2000,15.64555855,
25,MEWMA,2,0.5,100,8.883195855,
26,MEWMA,2,0.5,200,10.44,1.012609117
27,MEWMA,2,0.5,500,12.64484145,
28,MEWMA,2,0.5,1000,14.25249326,
29,MEWMA,2,0.5,2000,15.84283523,
30,MEWMA,2,0.6,100,8.951266321,
31,MEWMA,2,0.6,200,10.52,1.007662835
32,MEWMA,2,0.6,500,12.74173679,
33,MEWMA,2,0.6,1000,14.36170777,
34,MEWMA,2,0.6,2000,15.96423627,
35,MEWMA,2,0.7,100,8.976792746,
36,MEWMA,2,0.7,200,10.55,1.002851711
37,MEWMA,2,0.7,500,12.77807254,
38,MEWMA,2,0.7,1000,14.40266321,
39,MEWMA,2,0.7,2000,16.00976166,
40,MEWMA,2,0.8,100,9.002319171,
41,MEWMA,2,0.8,200,10.58,1.002843602
42,MEWMA,2,0.8,500,12.81440829,
43,MEWMA,2,0.8,1000,14.44361865,
44,MEWMA,2,0.8,2000,16.05528705,
45,MEWMA,2,0.9,100,9.019336788,
46,MEWMA,2,0.9,200,10.6,1.001890359
47,MEWMA,2,0.9,500,12.83863212,
48,MEWMA,2,0.9,1000,14.47092228,
49,MEWMA,2,0.9,2000,16.08563731,
50,MEWMA,2,0.95,100,9.027845596,
51,MEWMA,2,0.95,200,10.61,1.000943396
52,MEWMA,2,0.95,500,12.85074404,
53,MEWMA,2,0.95,1000,14.48457409,
54,MEWMA,2,0.95,2000,16.10081244,
55,MEWMA,3,0.05,100,8.152,1.305991669
56,MEWMA,3,0.05,200,9.773,1.329659864
57,MEWMA,3,0.05,500,11.997,1.233117484
58,MEWMA,3,0.05,1000,13.68,1.209763
59,MEWMA,3,0.05,2000,15.353,1.192188228
60,MEWMA,3,0.1,100,9.275,1.277196365
61,MEWMA,3,0.1,200,10.956,1.268055556
62,MEWMA,3,0.1,500,13.165,1.215941627
63,MEWMA,3,0.1,1000,14.805,1.196750465
64,MEWMA,3,0.1,2000,16.41,1.182106325
65,MEWMA,3,0.2,100,10.924,1.330410425
66,MEWMA,3,0.2,200,11.93,1.23626943
67,MEWMA,3,0.2,500,14.055,1.2025154
68,MEWMA,3,0.2,1000,15.632,1.186579627
69,MEWMA,3,0.2,2000,17.184,1.173449877
70,MEWMA,3,0.3,100,10.72109845,
71,MEWMA,3,0.3,200,12.6,
72,MEWMA,3,0.3,500,15.26101554,
73,MEWMA,3,0.3,1000,17.20128497,
74,MEWMA,3,0.3,2000,19.12066321,
75,MEWMA,3,0.4,100,10.96572668,
76,MEWMA,3,0.4,200,12.8875,
77,MEWMA,3,0.4,500,15.60923316,
78,MEWMA,3,0.4,1000,17.59377461,
79,MEWMA,3,0.4,2000,19.55694819,
80,MEWMA,3,0.5,100,11.10399482,
81,MEWMA,3,0.5,200,13.05,
82,MEWMA,3,0.5,500,15.80605181,
83,MEWMA,3,0.5,1000,17.81561658,
84,MEWMA,3,0.5,2000,19.80354404,
85,MEWMA,3,0.6,100,11.1890829,
86,MEWMA,3,0.6,200,13.15,
87,MEWMA,3,0.6,500,15.92717098,
88,MEWMA,3,0.6,1000,17.95213472,
89,MEWMA,3,0.6,2000,19.95529534,
90,MEWMA,3,0.7,100,11.22099093,
91,MEWMA,3,0.7,200,13.1875,
92,MEWMA,3,0.7,500,15.97259067,
93,MEWMA,3,0.7,1000,18.00332902,
94,MEWMA,3,0.7,2000,20.01220207,
95,MEWMA,3,0.8,100,11.25289896,
96,MEWMA,3,0.8,200,13.225,
97,MEWMA,3,0.8,500,16.01801036,
98,MEWMA,3,0.8,1000,18.05452332,
99,MEWMA,3,0.8,2000,20.06910881,
100,MEWMA,3,0.9,100,11.27417098,
101,MEWMA,3,0.9,200,13.25,
