Method,Dimension,Lambda,ARL,h,ARL_observed
(ss)(D)MEWM(A)(C),0,0.0,0,0.0,0.0
DMEWMA,2,0.05,100,3.5425,100.077
DMEWMA,2,0.05,200,4.77925,200.0334
DMEWMA,2,0.05,500,6.58446875,499.9506
DMEWMA,2,0.05,1000,8.0658125,999.3689
DMEWMA,2,0.05,2000,9.59675,2001.8590859086
DMEWMA,2,0.1,100,4.7043828130000005,100.0956
DMEWMA,2,0.1,200,6.094101563,200.1464
DMEWMA,2,0.1,500,8.070164063,499.6837
DMEWMA,2,0.1,1000,9.61709375,1000.2421
DMEWMA,2,0.1,2000,11.116375,1999.5822582258
DMEWMA,2,0.2,100,6.166078125,99.9976
DMEWMA,2,0.2,200,7.66953125,199.9237
DMEWMA,2,0.2,500,9.70753125,499.6131
DMEWMA,2,0.2,1000,11.21989844,999.7028
DMEWMA,2,0.2,2000,12.7455625,1998.7760776078
DMEWMA,2,0.3,100,7.138402194,99.9121
DMEWMA,2,0.3,200,8.676679688,199.8005
DMEWMA,2,0.3,500,10.685374939999999,499.6359
DMEWMA,2,0.3,1000,12.19364517,1000.359
DMEWMA,2,0.3,2000,13.66176495,2000.4322
DMEWMA,2,0.4,100,7.817503222,100.0172
DMEWMA,2,0.4,200,9.325625,200.1578
DMEWMA,2,0.4,500,11.35066778,500.289
DMEWMA,2,0.4,1000,12.81525407,999.5465
DMEWMA,2,0.4,2000,14.28325386,2000.8814644393
DMEWMA,2,0.5,100,8.332414605,100.0602
DMEWMA,2,0.5,200,9.84234375,199.8025
DMEWMA,2,0.5,500,11.77765395,499.5868
DMEWMA,2,0.5,1000,13.24761045,1000.6841
DMEWMA,2,0.5,2000,14.71490554,2001.6838
DMEWMA,2,0.6,100,8.664156946,100.0953
DMEWMA,2,0.6,200,10.15671875,200.1065
DMEWMA,2,0.6,500,12.11283054,500.3947
DMEWMA,2,0.6,1000,13.57655152,999.2728
DMEWMA,2,0.6,2000,14.98572065,2000.3529
DMEWMA,2,0.7,100,8.906480246000001,100.0301
DMEWMA,2,0.7,200,10.37421875,200.0697
DMEWMA,2,0.7,500,12.32104129,499.8064
DMEWMA,2,0.7,1000,13.72297571,999.0198
DMEWMA,2,0.7,2000,15.10155854,2001.7332733273
DMEWMA,2,0.8,100,9.049194171,99.9454
DMEWMA,2,0.8,200,10.4940625,199.8256
DMEWMA,2,0.8,500,12.40425204,499.612
DMEWMA,2,0.8,1000,13.7912749,1000.732
DMEWMA,2,0.8,2000,15.1763808,2000.7163
DMEWMA,2,0.9,100,9.111133663,100.0276
DMEWMA,2,0.9,200,10.54140625,199.9021
DMEWMA,2,0.9,500,12.41675712,500.218
DMEWMA,2,0.9,1000,13.80685978,1000.0707
DMEWMA,2,0.9,2000,15.19208262,2001.1724172417
DMEWMA,2,0.95,100,9.119642471,99.9431
DMEWMA,2,0.95,200,10.57289063,199.8772
DMEWMA,2,0.95,500,12.40543154,500.4912
DMEWMA,2,0.95,1000,13.82832409,1000.6505
DMEWMA,2,0.95,2000,15.195539,1999.8944894489
DMEWMA,3,0.05,100,4.970359375,100.0732
DMEWMA,3,0.05,200,6.4214375,200.1924
DMEWMA,3,0.05,500,8.519460938,499.9521
DMEWMA,3,0.05,1000,10.12921875,999.2142
DMEWMA,3,0.05,2000,11.80807813,1998.763
DMEWMA,3,0.1,100,6.330664063,100.0109
DMEWMA,3,0.1,200,7.9647890630000004,199.94
DMEWMA,3,0.1,500,10.165,499.8589
DMEWMA,3,0.1,1000,11.83722656,1000.1777
DMEWMA,3,0.1,2000,13.51253906,2000.6816
DMEWMA,3,0.2,100,8.00603125,100.0382
DMEWMA,3,0.2,200,9.712226563,199.9638
DMEWMA,3,0.2,500,11.95148438,499.9588
DMEWMA,3,0.2,1000,13.5929375,999.3878
DMEWMA,3,0.2,2000,15.22347656,2000.5531
DMEWMA,3,0.3,100,9.0453172,99.9031
DMEWMA,3,0.3,200,10.76894531,199.8815
DMEWMA,3,0.3,500,12.94656242,499.7246
DMEWMA,3,0.3,1000,14.62608966,1000.6298
DMEWMA,3,0.3,2000,16.21441321,2000.8108
DMEWMA,3,0.4,100,9.81728918,100.0111
DMEWMA,3,0.4,200,11.49882813,200.1084
DMEWMA,3,0.4,500,13.66978004,499.5518
DMEWMA,3,0.4,1000,15.30568867,1000.286
DMEWMA,3,0.4,2000,16.858706,1999.5839
DMEWMA,3,0.5,100,10.35399482,100.0861
DMEWMA,3,0.5,200,11.9953125,199.9194
DMEWMA,3,0.5,500,14.15077837,500.0823
DMEWMA,3,0.5,1000,15.74139783,1000.5981
DMEWMA,3,0.5,2000,17.27815342,1998.8092
DMEWMA,3,0.6,100,10.71837978,99.9711
DMEWMA,3,0.6,200,12.36875,200.1938
DMEWMA,3,0.6,500,14.46525692,499.9305
DMEWMA,3,0.6,1000,15.99803316,999.7421
DMEWMA,3,0.6,2000,17.53537347,2000.1474
DMEWMA,3,0.7,100,10.98270968,100.0898
DMEWMA,3,0.7,200,12.60351563,200.0828
DMEWMA,3,0.7,500,14.64251255,500.1049
DMEWMA,3,0.7,1000,16.17520402,1000.7818
DMEWMA,3,0.7,2000,17.64794426,2000.6219
DMEWMA,3,0.8,100,11.13571146,99.9744
DMEWMA,3,0.8,200,12.740625,199.9329
DMEWMA,3,0.8,500,14.74652599,500.2587
DMEWMA,3,0.8,1000,16.25862488,1000.2176
DMEWMA,3,0.8,2000,17.71949944,1999.5496549655
DMEWMA,3,0.9,100,11.23510848,99.9005
DMEWMA,3,0.9,200,12.8125,200.0727
DMEWMA,3,0.9,500,14.7973136,500.0361
DMEWMA,3,0.9,1000,16.25466848,1000.5216
DMEWMA,3,0.9,2000,17.69298413,2001.2526
DMEWMA,3,0.95,100,11.24183824,100.0754
DMEWMA,3,0.95,200,12.80546875,199.9723
DMEWMA,3,0.95,500,14.82710193,500.3209
DMEWMA,3,0.95,1000,16.24829575,999.1318
DMEWMA,3,0.95,2000,17.70023429,1998.5188518852
DMEWMA,4,0.05,100,6.32078125,99.9799
DMEWMA,4,0.05,200,7.965117188,200.0523
DMEWMA,4,0.05,500,10.262281250000001,500.2403
DMEWMA,4,0.05,1000,12.013125,999.3467
DMEWMA,4,0.05,2000,13.78370313,2000.3778
DMEWMA,4,0.1,100,7.820171875,99.9345
DMEWMA,4,0.1,200,9.668476563,200.0201
DMEWMA,4,0.1,500,12.07607813,499.9828
DMEWMA,4,0.1,1000,13.8109375,1000.1366
DMEWMA,4,0.1,2000,15.58282813,1998.7755
DMEWMA,4,0.2,100,9.639312499999999,100.0425
DMEWMA,4,0.2,200,11.54089844,200.0376
DMEWMA,4,0.2,500,13.9504375,500.1014
DMEWMA,4,0.2,1000,15.67275,1000.2136
DMEWMA,4,0.2,2000,17.37192188,2001.2338
DMEWMA,4,0.3,100,10.82595692,100.075
DMEWMA,4,0.3,200,12.67007813,200.0178
DMEWMA,4,0.3,500,15.05525333,499.6141
DMEWMA,4,0.3,1000,16.7485847,1000.3735
DMEWMA,4,0.3,2000,18.40607401,1999.7148714871
DMEWMA,4,0.4,100,11.6228937,100.039
DMEWMA,4,0.4,200,13.42570313,200.1765
DMEWMA,4,0.4,500,15.76583664,500.1873
DMEWMA,4,0.4,1000,17.46431595,999.7128
DMEWMA,4,0.4,2000,19.08836545,2001.3414341434
DMEWMA,4,0.5,100,12.22937248,100.0375
DMEWMA,4,0.5,200,13.9678125,200.038
DMEWMA,4,0.5,500,16.26218613,500.2523
DMEWMA,4,0.5,1000,17.91267265,999.8191
DMEWMA,4,0.5,2000,19.499199745,2000.2295229523
DMEWMA,4,0.6,100,12.61122643,99.9637
DMEWMA,4,0.6,200,14.358125,200.0836
DMEWMA,4,0.6,500,16.60554799,499.8933
DMEWMA,4,0.6,1000,18.19405944,1000.186
DMEWMA,4,0.6,2000,19.77901196,2000.3672
DMEWMA,4,0.7,100,12.91201798,100.0006
DMEWMA,4,0.7,200,14.616875,199.8924
DMEWMA,4,0.7,500,16.7772012,500.0479
DMEWMA,4,0.7,1000,18.34703938,999.5904
DMEWMA,4,0.7,2000,19.89370377,2000.2321464293
DMEWMA,4,0.8,100,13.07058039,99.9254
DMEWMA,4,0.8,200,14.740625,200.1837
DMEWMA,4,0.8,500,16.85515985,499.6658
DMEWMA,4,0.8,1000,18.44810247,1000.8853
DMEWMA,4,0.8,2000,19.99046481,2001.0782078208
DMEWMA,4,0.9,100,13.12003866,100.0584
DMEWMA,4,0.9,200,14.8075,199.906
DMEWMA,4,0.9,500,16.92145521,499.5836
DMEWMA,4,0.9,1000,18.47381119,999.8282
DMEWMA,4,0.9,2000,19.98335758,2000.1559
DMEWMA,4,0.95,100,13.1366428,100.0612
DMEWMA,4,0.95,200,14.811640625,200.0208
DMEWMA,4,0.95,500,16.93311851,499.8724
DMEWMA,4,0.95,1000,18.47494681,999.7215
DMEWMA,4,0.95,2000,19.98566335,1999.2483
DMEWMA,5,0.05,100,7.630078125,99.9347
DMEWMA,5,0.05,200,9.4129765625,199.9676
DMEWMA,5,0.05,500,11.9268359375,499.7244
DMEWMA,5,0.05,1000,13.836921875,999.4825
DMEWMA,5,0.05,2000,15.6855,1998.0531
DMEWMA,5,0.1,100,9.31265625,100.0107
DMEWMA,5,0.1,200,11.249671875,200.0017
DMEWMA,5,0.1,500,13.8344375,499.5806
DMEWMA,5,0.1,1000,15.720609375,1000.6201
DMEWMA,5,0.1,2000,17.5425976562,1999.4070814163
DMEWMA,5,0.2,100,11.2486015625,100.0059
DMEWMA,5,0.2,200,13.262171875,200.0407
DMEWMA,5,0.2,500,15.8336875,500.2038
DMEWMA,5,0.2,1000,17.669015625,1000.3993
DMEWMA,5,0.2,2000,19.421328125,1998.1664166417
DMEWMA,5,0.3,100,12.470753195,99.9656
DMEWMA,5,0.3,200,14.463965625,199.8763
DMEWMA,5,0.3,500,16.936557345,499.6509
DMEWMA,5,0.3,1000,18.7464573475,999.2531
DMEWMA,5,0.3,2000,20.51075815,1998.0616
DMEWMA,5,0.4,100,13.37519801,99.9987
DMEWMA,5,0.4,200,15.309384375,200.0734
DMEWMA,5,0.4,500,17.6952489175,499.9896
DMEWMA,5,0.4,1000,19.47885671,1000.1643
DMEWMA,5,0.4,2000,21.1577045225,2001.5844
DMEWMA,5,0.5,100,13.9926284,99.9447
DMEWMA,5,0.5,200,15.887925,200.1175
DMEWMA,5,0.5,500,18.209356255,500.2844
DMEWMA,5,0.5,1000,19.93721853,999.1333
DMEWMA,5,0.5,2000,21.6391152475,2000.0741074107
DMEWMA,5,0.6,100,14.40201399,99.9579
DMEWMA,5,0.6,200,16.248275,199.8438
DMEWMA,5,0.6,500,18.54184735,499.6774
DMEWMA,5,0.6,1000,20.2469043525,999.9215
DMEWMA,5,0.6,2000,21.86430696,2000.7471
DMEWMA,5,0.7,100,14.66831469,99.9596
DMEWMA,5,0.7,200,16.5044125,199.8966
DMEWMA,5,0.7,500,18.73519048,500.3053
DMEWMA,5,0.7,1000,20.3665295,999.314
DMEWMA,5,0.7,2000,22.02144776,2000.5511551155
DMEWMA,5,0.8,100,14.87780584,99.9715
DMEWMA,5,0.8,200,16.5695625,199.9517
DMEWMA,5,0.8,500,18.82551032,499.7099
DMEWMA,5,0.8,1000,20.451121415,1000.6346
DMEWMA,5,0.8,2000,22.09242836,1999.2232
