Method,Dimension,Lambda,ARL,h,ARL_observed
(ss)(D)MEWM(A)(C),0,0.0,0,0.0,0.0
ssDMEWMC,2,0.05,100,0.0493563707,100.3
ssDMEWMC,2,0.05,200,0.07546179580000001,211.6
ssDMEWMC,2,0.05,500,0.1000769472,521.5
ssDMEWMC,2,0.05,1000,0.1261155549,1212.1
ssDMEWMC,2,0.05,2000,0.1372730626,2087.8
ssDMEWMC,2,0.1,100,0.136963611,102.6
ssDMEWMC,2,0.1,200,0.2013196519,197.0
ssDMEWMC,2,0.1,500,0.2626351966,513.4
ssDMEWMC,2,0.1,1000,0.3014173365,983.4
ssDMEWMC,2,0.1,2000,0.3324744441,2092.4
ssDMEWMC,2,0.2,100,0.37598240580000003,121.4
ssDMEWMC,2,0.2,200,0.4613327742,217.8
ssDMEWMC,2,0.2,500,0.630434952,448.6
ssDMEWMC,2,0.2,1000,0.7028160122,831.9
ssDMEWMC,2,0.2,2000,0.8492723183,1872.5
ssDMEWMC,2,0.30000000000000004,100,0.7021755336000001,130.7
ssDMEWMC,2,0.30000000000000004,200,0.8354766326,214.7
ssDMEWMC,2,0.30000000000000004,500,0.9875285423000001,427.8
ssDMEWMC,2,0.30000000000000004,1000,1.1847873822000001,978.5
ssDMEWMC,2,0.30000000000000004,2000,1.4242186283,2104.8
ssDMEWMC,2,0.4,100,1.1206716005,110.7
ssDMEWMC,2,0.4,200,1.2912578387,215.7
ssDMEWMC,2,0.4,500,1.5616055898,581.8
ssDMEWMC,2,0.4,1000,1.8974911874,1023.9
ssDMEWMC,2,0.4,2000,2.1425676409,2252.0
ssDMEWMC,2,0.5,100,1.7394505237,127.1
ssDMEWMC,2,0.5,200,1.8955014651000002,214.2
ssDMEWMC,2,0.5,500,2.4029442057,608.2
ssDMEWMC,2,0.5,1000,2.5984001532,993.7
ssDMEWMC,2,0.5,2000,3.1072647387,1834.8
ssDMEWMC,2,0.6000000000000001,100,2.4671784134,95.6
ssDMEWMC,2,0.6000000000000001,200,2.7047583423,181.1
ssDMEWMC,2,0.6000000000000001,500,3.2230842998,509.2
ssDMEWMC,2,0.6000000000000001,1000,3.7912844287,977.7
ssDMEWMC,2,0.6000000000000001,2000,4.2910368348,2198.7
ssDMEWMC,2,0.7000000000000001,100,3.4044907424,130.7
ssDMEWMC,2,0.7000000000000001,200,3.7120507901,185.8
ssDMEWMC,2,0.7000000000000001,500,4.4710340124,465.1
ssDMEWMC,2,0.7000000000000001,1000,5.0625005669,956.5
ssDMEWMC,2,0.7000000000000001,2000,5.908753503,2249.5
ssDMEWMC,2,0.8,100,4.833419043,107.8
ssDMEWMC,2,0.8,200,5.0601275654,235.9
ssDMEWMC,2,0.8,500,6.2011693899,496.7
ssDMEWMC,2,0.8,1000,6.9308900325,1008.6
ssDMEWMC,2,0.8,2000,8.0445217333,2108.6
ssDMEWMC,2,0.9,100,6.7192390403,97.6
ssDMEWMC,2,0.9,200,6.863604343,172.9
ssDMEWMC,2,0.9,500,8.7971272208,467.4
ssDMEWMC,2,0.9,1000,9.5371448813,1043.8
ssDMEWMC,2,0.9,2000,10.9495051815,1822.0
ssDMEWMC,2,0.9500000000000001,100,8.3686935355,166.3
ssDMEWMC,2,0.9500000000000001,200,8.6391555967,223.6
ssDMEWMC,2,0.9500000000000001,500,10.4566259952,467.4
ssDMEWMC,2,0.9500000000000001,1000,11.6394111583,1025.7
ssDMEWMC,2,0.9500000000000001,2000,12.933074841,1822.0
ssDMEWMC,3,0.05,100,0.1099423992,93.8
ssDMEWMC,3,0.05,200,0.1237586566,195.6
ssDMEWMC,3,0.05,500,0.1726848285,485.2
ssDMEWMC,3,0.05,1000,0.1875775569,901.0
ssDMEWMC,3,0.05,2000,0.2420936891,2461.6
ssDMEWMC,3,0.1,100,0.2565842231,86.0
ssDMEWMC,3,0.1,200,0.3399425318,229.8
ssDMEWMC,3,0.1,500,0.4152935639,529.2
ssDMEWMC,3,0.1,1000,0.45425084590000003,990.6
ssDMEWMC,3,0.1,2000,0.5037067577000001,1672.2
ssDMEWMC,3,0.2,100,0.7301416502,104.7
ssDMEWMC,3,0.2,200,0.8225751793,202.1
ssDMEWMC,3,0.2,500,0.9803413508000001,510.6
ssDMEWMC,3,0.2,1000,1.0222140244,1003.6
ssDMEWMC,3,0.2,2000,1.1063581404,1951.3
ssDMEWMC,3,0.30000000000000004,100,1.311270112,57.6
ssDMEWMC,3,0.30000000000000004,200,1.4692202053,228.1
